,ADM,CREDITO,ENTRADA,PRAZO,PARCELAS,STATUS,VENCIMENTO,TRANSFERENCIA,COD
Auto,HS,39.150,22.600,32,893,Disponivel,Consultar,574,C23
Auto,PORTO,40.000,19.900,26,1.307,Disponivel,15/09/2025,Consultar,C07
Auto,PORTO,40.000,20.200,26,1.285,Disponivel,15/09/2025,Consultar,C07
Auto,PORTO,40.000,20.200,26,1.285,Disponivel,15/09/2025,Consultar,C07
Auto,PORTO,40.000,20.900,40,1.065,Disponivel,15/09/2025,Consultar,C09
Auto,PORTO,40.000,22.300,26,1.194,Disponivel,15/09/2025,Consultar,C07
Auto,ITAU - M,40.590,9.500,28,1.720,Disponivel,Consultar,650,C92
Auto,HS,40.950,18.200,74,646,Disponivel,Consultar,602,C23
Auto,ITAU,41.286,11.500,26,1.698,Disponivel,Consultar,650,C92
Auto,ITAU,41.501,13.000,43,1.137,Disponivel,15/9/2025,650,C131
Auto,ITAU,42.000,11.500,45,01 x 1.529 + 44 x 1.062,Disponivel,15/09/2025,650,C62
Auto,HS,42.350,23.000,32,904,Disponivel,Consultar,602,C23
Auto,HS,42.500,18.850,72,718,Disponivel,Consultar,598,C23
Auto,HS,42.750,23.200,31,966,Disponivel,Consultar,607,C23
Auto,HS,43.350,21.200,92,552,Disponivel,Consultar,600,C23
Auto,HS,43.500,20.000,90,557,Disponivel,Consultar,600,C23
Auto,HS,43.500,20.150,98,532,Disponivel,Consultar,850,C23
Auto,ITAU,43.601,11.000,25,2.026,Disponivel,Consultar,650,C92
Auto,PORTO,44.300,24.500,36,911,Disponivel,15/09/2025,450,C127
Auto,HS,44.400,20.150,70,763,Disponivel,Consultar,654,C23
Auto,HS,44.500,21.200,91,533,Disponivel,Consultar,450,C23
Auto,BRADESCO,44.500,37.500,26,374,Disponivel,Consultar,800,C23
Auto,MYCON,44.668,18.000,49,950,Disponivel,Consultar,Consultar,C38
Auto,HS,44.700,19.800,74,754,Disponivel,Consultar,654,C23
Auto,HS,44.700,22.000,44,846,Disponivel,Consultar,638,C23
Auto,HS,44.900,20.300,78,608,Disponivel,Consultar,629,C23
Auto,BRADESCO,45.000,32.000,35,624,Disponivel,10/09/2025,800,C117
Auto,PORTO,45.200,18.800,23,1.792,Disponivel,15/09/2025,Consultar,C07
Auto,HS,45.400,21.700,77,625,Disponivel,Consultar,629,C23
Auto,HS,45.600,21.200,78,641,Disponivel,Consultar,629,C23
Auto,MYCON,46.000,19.000,48,950,Disponivel,Consultar,Consultar,C84
Auto,PORTO,46.000,20.000,20,1.969,Disponivel,15/09/2025,Consultar,C07
Auto,MYCON,46.000,21.000,43,950,Disponivel,Consultar,Consultar,C84
Auto,MYCON,46.500,19.000,68,785,Disponivel,Consultar,Consultar,C84
Auto,BRADESCO,46.650,31.650,26,747,Disponivel,Consultar,800,C23
Auto,HS,46.750,19.200,24,1.725,Disponivel,Consultar,483,C23
Auto,EMBRACON,47.031,19.907,77,707,Disponivel,22/08/2025,600,C155
Auto,PORTO,47.500,17.800,28,1.569,Disponivel,15/09/2025,Consultar,C07
Auto,MYCON,48.350,21.850,49,897,Disponivel,Consultar,981,C23
Auto,HS,48.400,25.750,28,1.247,Disponivel,Consultar,690,C23
Auto,BRADESCO,48.550,35.100,32,530,Disponivel,Consultar,800,C23
Auto,BRADESCO,48.600,39.450,42,316,Disponivel,Consultar,800,C23
Auto,PORTO,50.000,23.000,82,2 x 498 + 80 x 688,Disponivel,15/09/2025,Consultar,C07
Auto,ITAU,50.070,14.000,26,2.116,Disponivel,Consultar,650,C92
Auto,PORTO,50.800,17.000,34,1.647,Disponivel,15/09/2025,700,C127
Auto,PORTO,50.960,16.500,34,1.721,Disponivel,15/09/2025,700,C127
Auto,PORTO,51.000,18.500,35,1.438,Disponivel,15/09/2025,700,C127
Auto,PRIMO ROSSI,51.506,23.781,75,781,Disponivel,12/09/2025,1.100,C155
Auto,PORTO,51.600,25.800,33,1.269,Disponivel,15/09/2025,Consultar,C07
Auto,PORTO,52.400,29.690,18,1.730,Disponivel,15/09/2025,600,C155
Auto,PORTO,52.430,19.600,26,1.861,Disponivel,15/09/2025,Consultar,C07
Auto,BRADESCO,52.700,36.000,89,89 x 302,Disponivel,10/09/2025,800,C117
Auto,PORTO,53.000,22.500,35,1.414,Disponivel,15/09/2025,707,C127
Auto,PORTO,53.000,22.500,35,1.411,Disponivel,15/09/2025,707,C127
Auto,PORTO,53.100,21.000,34,1.518,Disponivel,15/09/2025,Consultar,C07
Auto,EMBRACON,53.850,25.300,45,1.120,Disponivel,Consultar,1.300,C23
Auto,PORTO,54.000,23.000,38,1.291,Disponivel,15/09/2025,712,C127
